"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1979-Q3","T3-1979",14.964938,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1980","1980",15.757369,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1980-Q2","T2-1980",15.869389,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1980-Q1","T1-1980",16.515691,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1980-Q4","T4-1980",16.171188,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1980-Q3","T3-1980",14.461697,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1981","1981",17.159291,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1981-Q1","T1-1981",15.785817,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1981-Q2","T2-1981",17.258591,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1981-Q4","T4-1981",17.908475,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1981-Q3","T3-1981",17.663142,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1982","1982",20.003497,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1982-Q2","T2-1982",19.904049,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1982-Q1","T1-1982",20.725278,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1982-Q4","T4-1982",20.258085,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1982-Q3","T3-1982",19.116347,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1983","1983",23.118035,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1983-Q1","T1-1983",21.480376,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1983-Q2","T2-1983",23.360195,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1983-Q4","T4-1983",25.922588,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1983-Q3","T3-1983",21.552117,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1984","1984",25.819677,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1984-Q2","T2-1984",25.962544,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1984-Q1","T1-1984",26.988213,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1984-Q4","T4-1984",25.999481,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1984-Q3","T3-1984",24.295586,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1985","1985",27.411754,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1985-Q1","T1-1985",28.242327,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1985-Q2","T2-1985",26.511276,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1985-Q4","T4-1985",27.649427,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1985-Q3","T3-1985",27.23332,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1986","1986",25.564555,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1986-Q2","T2-1986",26.960192,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1986-Q1","T1-1986",27.060064,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1986-Q4","T4-1986",25.297744,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1986-Q3","T3-1986",22.81319,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1987","1987",25.442477,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1987-Q1","T1-1987",26.691074,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1987-Q2","T2-1987",26.704076,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1987-Q4","T4-1987",24.248647,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1987-Q3","T3-1987",24.058475,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1988","1988",19.99181,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1988-Q2","T2-1988",21.276746,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1988-Q1","T1-1988",22.296444,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1988-Q4","T4-1988",18.005574,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1988-Q3","T3-1988",18.247268,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1989","1989",16.376305,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1989-Q1","T1-1989",16.365895,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1989-Q2","T2-1989",17.471095,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1989-Q4","T4-1989",16.383877,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1989-Q3","T3-1989",15.262619,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1990","1990",14.832819,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1990-Q2","T2-1990",15.14968,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1990-Q1","T1-1990",14.691902,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1990-Q4","T4-1990",15.25435,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1990-Q3","T3-1990",14.231129,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1991","1991",15.628245,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1991-Q1","T1-1991",15.189626,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1991-Q2","T2-1991",16.26816,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1991-Q4","T4-1991",16.444258,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1991-Q3","T3-1991",14.588029,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1992","1992",16.643873,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1992-Q2","T2-1992",18.272499,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1992-Q1","T1-1992",16.989557,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1992-Q4","T4-1992",14.809201,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1992-Q3","T3-1992",16.542339,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1993","1993",17.860461,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1993-Q1","T1-1993",15.897046,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1993-Q2","T2-1993",18.048994,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1993-Q4","T4-1993",20.926762,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1993-Q3","T3-1993",16.726597,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1994","1994",19.730905,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1994-Q2","T2-1994",18.095728,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1994-Q1","T1-1994",20.990465,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1994-Q4","T4-1994",20.867853,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1994-Q3","T3-1994",19.016837,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1995","1995",19.470126,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1995-Q1","T1-1995",21.041855,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1995-Q2","T2-1995",17.526034,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1995-Q4","T4-1995",20.455241,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1995-Q3","T3-1995",18.962454,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1996","1996",17.333243,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1996-Q2","T2-1996",17.507345,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1996-Q1","T1-1996",15.73807,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1996-Q4","T4-1996",18.668628,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1996-Q3","T3-1996",17.464595,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1997","1997",16.39546,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1997-Q1","T1-1997",17.287368,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1997-Q2","T2-1997",17.003083,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1997-Q4","T4-1997",15.529727,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1997-Q3","T3-1997",15.693264,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1998","1998",14.248993,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1998-Q2","T2-1998",16.1701,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1998-Q1","T1-1998",12.310273,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1998-Q4","T4-1998",16.164217,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1998-Q3","T3-1998",12.345099,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1999","1999",12.952033,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1999-Q1","T1-1999",15.034516,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1999-Q2","T2-1999",12.223005,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1999-Q4","T4-1999",12.970509,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1999-Q3","T3-1999",11.578325,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2000","2000",10.48441,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2000-Q2","T2-2000",12.127185,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2000-Q1","T1-2000",9.313126,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2000-Q4","T4-2000",9.635495,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2000-Q3","T3-2000",10.808881,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2001","2001",8.450518,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2001-Q1","T1-2001",8.082844,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2001-Q2","T2-2001",9.316458,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2001-Q4","T4-2001",8.490256,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2001-Q3","T3-2001",7.904333,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2002","2002",8.456148,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2002-Q2","T2-2002",9.301713,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2002-Q1","T1-2002",6.684408,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2002-Q4","T4-2002",9.006462,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2002-Q3","T3-2002",8.778169,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2003","2003",9.532065,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2003-Q1","T1-2003",8.086554,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2003-Q2","T2-2003",10.069668,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2003-Q4","T4-2003",11.954102,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2003-Q3","T3-2003",8.041695,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004","2004",13.004333,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q2","T2-2004",11.810714,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q1","T1-2004",12.026452,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q4","T4-2004",15.109562,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2004-Q3","T3-2004",13.085035,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005","2005",12.016077,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q1","T1-2005",11.957574,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q2","T2-2005",11.057741,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q4","T4-2005",15.511619,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2005-Q3","T3-2005",9.582682,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006","2006",11.946972,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q2","T2-2006",10.338881,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q1","T1-2006",12.38978,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q4","T4-2006",14.610365,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2006-Q3","T3-2006",10.421409,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007","2007",12.842197,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q1","T1-2007",14.056369,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q2","T2-2007",11.0136,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q4","T4-2007",13.589573,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2007-Q3","T3-2007",12.695502,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008","2008",11.829679,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q2","T2-2008",8.91726,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q1","T1-2008",9.965776,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q4","T4-2008",16.398391,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2008-Q3","T3-2008",12.144436,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009","2009",18.623608,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q1","T1-2009",19.335282,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q2","T2-2009",15.890266,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q4","T4-2009",22.294217,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2009-Q3","T3-2009",16.753449,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010","2010",21.508315,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q2","T2-2010",22.196416,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q1","T1-2010",24.495886,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q4","T4-2010",19.022212,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2010-Q3","T3-2010",20.00773,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011","2011",20.352245,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q1","T1-2011",20.784444,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q2","T2-2011",17.636996,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q4","T4-2011",22.346953,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2011-Q3","T3-2011",20.351401,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012","2012",27.12806,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q2","T2-2012",24.597772,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q1","T1-2012",25.391249,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q4","T4-2012",33.003894,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2012-Q3","T3-2012",25.918027,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013","2013",34.973377,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q1","T1-2013",39.369758,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q2","T2-2013",29.996994,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q4","T4-2013",37.550335,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2013-Q3","T3-2013",32.736872,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014","2014",35.919708,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q2","T2-2014",37.000239,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q1","T1-2014",35.848244,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q4","T4-2014",37.459166,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2014-Q3","T3-2014",33.370839,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015","2015",33.857667,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q1","T1-2015",38.804687,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q2","T2-2015",34.064276,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q4","T4-2015",34.768901,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2015-Q3","T3-2015",27.916596,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016","2016",29.8817,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q2","T2-2016",29.858772,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q1","T1-2016",34.219393,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q4","T4-2016",32.189141,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2016-Q3","T3-2016",23.527461,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","2017","2017",25.028315,,
